shot_id,start_frame,end_frame,start_time,end_time,duration_s,court_ratio,meandiff_mean,court_hue,centroid_count,max_advance_y,max_advance_y_norm,center_approach,center_approach_norm,x_ref,y_ref,x_center,d_ref_center,d_min_center,z_maxadv,z_center,center_factor,approach_score
34.0,4442.0,4577.0,177.68,183.08,5.4,0.65855,1.302112,31.0,55,83.0,0.23055555555555557,61.0,0.0953125,381.0,244.0,320.0,61.0,0.0,0.30931115,-0.50087106,0.37733597,0.116714224
34.0,4442.0,4577.0,177.68,183.08,5.4,0.65855,1.302112,31.0,55,83.0,0.23055555555555557,61.0,0.0953125,381.0,244.0,320.0,61.0,0.0,0.30931115,-0.50087106,0.37733597,0.116714224
106.0,13743.0,14100.0,549.72,564.0,14.28,0.682466,0.974729,33.0,157,84.0,0.23333333333333334,46.0,0.071875,273.0,246.0,320.0,47.0,1.0,0.33963585,-0.7514736,0.32050028,0.108853385
106.0,13743.0,14100.0,549.72,564.0,14.28,0.682466,0.974729,33.0,157,84.0,0.23333333333333334,46.0,0.071875,273.0,246.0,320.0,47.0,1.0,0.33963585,-0.7514736,0.32050028,0.108853385
36.0,4629.0,4766.0,185.16,190.64,5.48,0.748049,1.451833,26.0,42,77.0,0.21388888888888888,175.0,0.2734375,144.0,310.0,320.0,176.0,1.0,0.12736344,1.4037083,0.8027717,0.102243766
36.0,4629.0,4766.0,185.16,190.64,5.48,0.748049,1.451833,26.0,42,77.0,0.21388888888888888,175.0,0.2734375,144.0,310.0,320.0,176.0,1.0,0.12736344,1.4037083,0.8027717,0.102243766
116.0,14809.0,14924.0,592.36,596.96,4.6,0.668174,2.936833,33.0,58,73.0,0.20277777777777778,53.0,0.0828125,374.0,241.0,320.0,54.0,1.0,0.006064972,-0.6345257,0.34648508,0.0021014223
116.0,14809.0,14924.0,592.36,596.96,4.6,0.668174,2.936833,33.0,58,73.0,0.20277777777777778,53.0,0.0828125,374.0,241.0,320.0,54.0,1.0,0.006064972,-0.6345257,0.34648508,0.0021014223
84.0,10312.0,10642.0,412.48,425.68,13.2,0.613285,3.930901,28.0,157,73.0,0.20277777777777778,31.0,0.0484375,351.0,248.0,320.0,31.0,0.0,0.006064972,-1.0020761,0.2685334,0.0016286476
84.0,10312.0,10642.0,412.48,425.68,13.2,0.613285,3.930901,28.0,157,73.0,0.20277777777777778,31.0,0.0484375,351.0,248.0,320.0,31.0,0.0,0.006064972,-1.0020761,0.2685334,0.0016286476
0.0,0.0,406.0,0.0,16.24,16.24,0.551241,9.183805,29.0,182,71.5,0.1986111111111111,35.0,0.0546875,284.0,199.5,320.0,36.0,1.0,-0.039421912,-0.9352488,0.28186107,-0.011111503
0.0,0.0,406.0,0.0,16.24,16.24,0.551241,9.183805,29.0,182,71.5,0.1986111111111111,35.0,0.0546875,284.0,199.5,320.0,36.0,1.0,-0.039421912,-0.9352488,0.28186107,-0.011111503
55.0,6570.0,6780.0,262.8,271.2,8.4,0.733032,1.149089,28.0,81,71.5,0.1986111111111111,62.0,0.096875,383.0,256.5,320.0,63.0,1.0,-0.039421912,-0.48416424,0.3812693,-0.015030365
55.0,6570.0,6780.0,262.8,271.2,8.4,0.733032,1.149089,28.0,81,71.5,0.1986111111111111,62.0,0.096875,383.0,256.5,320.0,63.0,1.0,-0.039421912,-0.48416424,0.3812693,-0.015030365
9.0,1272.0,1521.0,50.88,60.84,9.96,0.731146,1.637806,27.0,109,70.0,0.19444444444444445,131.0,0.2046875,452.0,263.0,320.0,132.0,1.0,-0.0849088,0.66860753,0.6611913,-0.05614096
9.0,1272.0,1521.0,50.88,60.84,9.96,0.731146,1.637806,27.0,109,70.0,0.19444444444444445,131.0,0.2046875,452.0,263.0,320.0,132.0,1.0,-0.0849088,0.66860753,0.6611913,-0.05614096
90.0,11082.0,11510.0,443.28,460.4,17.12,0.552737,1.061321,28.0,190,67.5,0.1875,105.0,0.1640625,214.0,300.5,320.0,106.0,1.0,-0.16072038,0.23422976,0.5582912,-0.08972877
90.0,11082.0,11510.0,443.28,460.4,17.12,0.552737,1.061321,28.0,190,67.5,0.1875,105.0,0.1640625,214.0,300.5,320.0,106.0,1.0,-0.16072038,0.23422976,0.5582912,-0.08972877
69.0,8360.0,8730.0,334.4,349.2,14.8,0.716021,2.054127,28.0,170,57.0,0.15833333333333333,20.0,0.03125,340.0,279.0,320.0,20.0,0.0,-0.4791289,-1.1858513,0.23400176,-0.112117
